manuscript_part,item,caption_key,script,output_stem,primary_input,notes
Main,Table 1,dataset summary,Scripts/table_1.py,Tables/table_1_dataset_summary,Data/section2_tables/table_1_main_dataset_summary_compact.csv,Main manuscript dataset summary table.
Main,Figure 1,current voltage SOC trajectories,Scripts/figure_1.py,Figures/figure_1_current_voltage_soc_by_profile,Data/processed,Panels follow BJDST DST US06 FUDS profile order.
Main,Table 2,voltage and current autocorrelation,Scripts/table_2.py,Tables/table_2_voltage_current_autocorrelation,Data/source_tables/acf_summary.csv,Profile-level autocorrelation summary.
Main,Table 3,causal lag correlations,Scripts/table_3.py,Tables/table_3_causal_lag_correlations,Data/source_tables/causal_lag_correlation.csv,Mean min-max format by lag.
Main,Figure 2,conditional SOC spread within local V-I bins,Scripts/figure_2.py,Figures/figure_2_vi_bin_soc_spread,Data/section2_tables/table_s2_raw_vi_bin_details.csv,Uses the original plot_section2_figure3_raw_vi_soc_iqr_heatmap.py plotting logic.
Main,Table 4,SOC IQR within occupied V-I bins,Scripts/table_4.py,Tables/table_4_vi_bin_soc_iqr,Data/section2_tables/table_2_main_raw_vi_soc_spread_compact.csv,Converts SOC fraction to percent points where needed upstream.
Main,Figure 3,raw signal frequency-domain structure,Scripts/figure_3.py,Figures/figure_3_raw_signal_frequency_structure,Data/processed,Uses the original build_frequency_structure_analysis.py logic; original output Figure_3_raw_signal_frequency_structure is saved as manuscript Figure 3.
Main,Figure 4,CEMA-TCN workflow,Scripts/figure_4.py,Figures/figure_4_cema_tcn_workflow,Scripts/figure_4.py,Uses the original build_manuscript_soc_figure_from_svg_template.py SVG-template script.
Main,Table 5,causal EMA measurement representation,Scripts/table_5.py,Tables/table_5_causal_ema_measurement_representation,Data/source_tables/feature_schema.csv,G4 channel group summary.
Main,Figure 5,CEMA-TCN endpoint estimator,Scripts/figure_5.py,Figures/figure_5_cema_tcn_endpoint_estimator,Scripts/figure_5.py,Uses the original build_slide2_silu_panel.py SVG-template script.
